final,best,alpha
-657.9649658203125,-890.4921264648438,12
-588.2076416015625,-674.30517578125,15
-571.442626953125,-711.636474609375,10
-760.5623168945312,-790.9743041992188,34
-687.0427856445312,-825.1884765625,34
-639.3375244140625,-763.984130859375,14
-654.9020385742188,-740.8416137695312,10
-727.1637573242188,-803.15966796875,10
-659.0033569335938,-853.340087890625,10
-627.6282348632812,-757.8056640625,10
-499.2121887207031,-760.6935424804688,14
-675.2376708984375,-819.021728515625,24
-708.9383544921875,-734.623291015625,11
-486.6947021484375,-742.1473388671875,11
-550.9547729492188,-722.135009765625,12
-571.5062866210938,-733.5036010742188,13
-691.6165771484375,-784.0640869140625,17
-708.6436767578125,-817.6873779296875,19
-697.2924194335938,-808.8173828125,10
-479.66583251953125,-709.3406372070312,10
